text,tag
AdapterHub: A Framework for Adapting Transformers Huggingface Transformers + Adapters,natural-language-processing
jellyfish 🎐 a python library for doing approximate and phonetic matching of strings.,natural-language-processing
Face Predicting Web App Interactive Deep Learning Model that utilizes your computer webcam to predict your age and gender in seconds! ,computer-vision
Shift-Ctrl-F: Semantic Search for the Browser 🔎: Search the information available on a webpage using natural language instead of an exact string match.,natural-language-processing
How to Create a Cartoonizer with TensorFlow Lite? An end-to-end tutorial on how to convert to TensorFlow Lite (TFLite) model and deploy it to an Android app for cartoonizing an image captured by camera.,computer-vision
"Weight Poisoning Attacks on Pre-trained Models How Bert can be infused with nefarious behavior, even after fine-tuning.",natural-language-processing
On the Bottleneck of Graph Neural Networks and its Implications The mechanism of propagating information between neighbors creates a bottleneck when every node aggregates messages from its neighbors.,natural-language-processing
Shakespeare Meets Google's Flax Application of RNNs in Flax: Character-Level Language Model.,natural-language-processing
Simple Transformers: Transformers Made Easy Simple Transformers removes complexity and lets you get down to what matters – model training and experimenting with the Transformer model architectures.,natural-language-processing
Discovering Symbolic Models from Deep Learning w/ Inductive Bias A general approach to distill symbolic representations of a learned deep model by introducing strong inductive biases.,natural-language-processing
"Understanding the Effectivity of Ensembles in Deep Learning The report explores the ideas presented in Deep Ensembles: A Loss Landscape Perspective by Stanislav Fort, Huiyi Hu, and Balaji Lakshminarayanan.",computer-vision
face mask detection  detects whether a person wearing a mask or not,computer-vision
Shift-Ctrl-F: Semantic Search for the Browser 🔎: Search the information available on a webpage using natural language instead of an exact string match.,natural-language-processing
"Network Fusion for Content Creation With Conditional Inns We present a method to repurpose powerful, existing models for new tasks, even though they have never been designed for them.",computer-vision
"Computer Vision Annotation Tool (CVAT) Free, online, interactive video and image annotation tool for computer vision.",computer-vision
"Shape and Viewpoint without Keypoints Recover the 3D shape, pose and texture from a single image, trained on an image collection without any ground truth 3D shape, multi-view, camera viewpoints.",computer-vision
Zero-shot Text Classification With Generative Language Models An overview of a text generation approach to zero-shot text classification with GPT-2,natural-language-processing
Transformers - Hugging Face 🤗 Transformers: State-of-the-art Natural Language Processing for TensorFlow 2.0 and PyTorch. ,natural-language-processing
"AI Debate Master Created and deployed a bot made to debate with a human on any
given topic. Employed a Doc2Vec model using Gensim library in Python",natural-language-processing
"Job Classification Job Classification done using Techniques of NLP and ML.

Dataset used from Kaggle of Indeeed job posting.",natural-language-processing
Five Cool Python Libraries for Data Science Python is a best friend for the majority of the Data Scientists. Libraries make their life simpler. I have come across five cool Python libraries while working ,natural-language-processing
FlashTorch Visualization toolkit for neural networks in PyTorch,computer-vision
Meta Reinforcement Learning Explore cases when we try to “meta-learn” Reinforcement Learning (RL) tasks by developing an agent that can solve unseen tasks fast and efficiently.,natural-language-processing
Implementation of a Contextual Chatbot in PyTorch Simple chatbot implementation with PyTorch.,natural-language-processing
FARM: Framework for Adapting Representation Models 🏡 Fast & easy transfer learning for NLP. Harvesting language models for the industry.,natural-language-processing
"NLP Pretrained Models A collection of Natural language processing pre-trained models.

",natural-language-processing
Real-time text detection with EAST in TFLite Demonstrates the conversion process from the original EAST model to TFLite and how to use it on static images and also on real-time video feeds. ,computer-vision
ICLR 2020 Trends: Better & Faster Transformers for NLP A summary of promising directions from ICLR 2020 for better and faster pretrained tranformers language models. ,natural-language-processing
aitextgen A robust Python tool for text-based AI training and generation using GPT-2.,natural-language-processing
Deep Learning for Computer Vision  Special topics class on deep learning for computer vision from the University of Michigan taught by Justin Johnson.,computer-vision
"NLP for Developers: Multilingual NLP | Rasa In this video, Rasa Developer Advocate Rachael will talk about common approaches to handle language input in more than one language.",natural-language-processing
Graph Convolutions for dummies An article explaining Graph Convolutional Networks as simply as possible.,mlops
Cartoonizer with TensorFlow.js An app to turn your photos into cartoon-styled images 🎨 within your browsers using White-box Cartoonization GAN.,computer-vision
CoreML Model Zoo Collection of unified and converted pre-trained models.,computer-vision
"The Abstraction and Reasoning Corpus (ARC) Can a computer learn complex, abstract tasks from just a few examples? ARC can be used to measure a human-like form of general fluid intelligence.",natural-language-processing
"Object-detection with multi-template matching This python package allows to perform object detection using one or a few template images, it provides a simpler alternative to deep-learning methods",computer-vision
"picTranslate: Seamless live Image Text translator Given an image with text on it, this app can give you a new image with text modified into a different language.",computer-vision
A Practical guide to building a conversational chatbot Building a Chatbot from scratch using Keras and NLTK library for a customer service company,natural-language-processing
Explore then Execute Adapting without Rewards via Factorized Meta-Reinforcement Learning,natural-language-processing
"SimGNN A PyTorch implementation of ""SimGNN: A Neural Network Approach to Fast Graph Similarity Computation"" (WSDM 2019). ",natural-language-processing
Generalized Language Models Trend in large unsupervised pre-trained language models which have achieved amazing SOTA results on a variety of language tasks.,natural-language-processing
Implementation of Face Net  in TensorFlow -  2.0 This repository is a naive unofficial  implementation of Face Net paper  - 2015 .This implementation opts online mode of semi - hard triplet mining.,computer-vision
BentoML BentoML is an open-source framework for high-performance ML model serving.,mlops
"Hyperparameter Optimization for 🤗 Transformers: A Guide Basic grid search is not the most optimal, and in fact, the hyperparameters we choose can have a significant impact on our final model performance.",natural-language-processing
multi-task-NLP A utility toolkit enabling NLP developers to easily train and infer a single model for multiple tasks.,natural-language-processing
"How to Test Machine Learning Code and Systems 🚦 Minimal examples of testing machine learning for correct implementation, expected learned behaviour, and model performance.

",mlops
"Graph Representation Learning Book Introduction to graph representation learning, including methods for embedding graph data, graph neural networks, and deep generative models of graphs.",natural-language-processing
The Dark Secrets of BERT How much of the linguistically interpretable self-attention patterns that are presumed to be its strength are actually used to solve downstream tasks?,natural-language-processing
Visual Paper Summary: ALBERT(A Lite BERT) An illustrated summary of ALBERT paper and how it improves BERT and makes it resource efficient,natural-language-processing
"Search for visual datasets By task, application, class, label or format.",computer-vision
ONNX Transformers Accelerated NLP pipelines for fast inference 🚀 on CPU. Built with 🤗 Transformers and ONNX runtime.,natural-language-processing
Wheat Detection 🌾 This is a project for detecting and creating bounding box of wheat heads 🌾.,computer-vision
Implementation of Face Net  in TensorFlow -  2.0 This repository is a naive unofficial  implementation of Face Net paper  - 2015 .This implementation opts online mode of semi - hard triplet mining.,computer-vision
AllenNLP Interpret A Framework for Explaining Predictions of NLP Models,natural-language-processing
Deep Reinforcement Learning for Supply Chain & Price Optimization Explore how deep reinforcement learning methods can be applied in several basic supply chain and price management scenarios.,natural-language-processing
Rasa NLU Examples Experimental components for Rasa NLU pipelines. ,natural-language-processing
Using Different Decoding Methods for LM with Transformers A look at different decoding methods for generate subsequent tokens in language modeling.,natural-language-processing
"3D Face: Fast, Accurate and Stable Reconstruction This work extends the previous work 3DDFA, named 3DDFA_V2, titled Towards Fast, Accurate and Stable 3D Dense Face Alignment, accepted by ECCV 2020. ",computer-vision
SciTLDR: Extreme Summarization of Scientific Documents A new automatic summarization task with high source compression requiring expert background knowledge and complex language understanding.,natural-language-processing
Content and Style Disentanglement for Artistic Style Transfer Hi-Res style transfer and interpolation between styles,computer-vision
FashionBERT Text and image matching with adaptive loss for cross-modal retrieval.,natural-language-processing
"Lyrics-Based Music Genre Classifier Classify the genre (Rock, Pop, Hip-Hop, Not Available, Metal, Other, Country, Jazz, Electronic, R&B, Indie, Folk) of the song by its lyrics.",natural-language-processing
Divide Hugging Face Transformers Training Time By 2 Reducing training time helps to iterate more in a fixed budget time and thus achieve better results.,natural-language-processing
"Zero-Shot Learning for Text Classification A visual summary of “Train Once, Test Anywhere” paper for zero-shot text classification",natural-language-processing
PyTorch3D FAIR's library of reusable components for deep learning with 3D data.,computer-vision
"Training an Image Classifier in PyTorch Torchvision, that has data loaders for common datasets such as Imagenet, CIFAR10, MNIST, etc. and data transformers for images, vizualization and data loaders.",computer-vision
Top Research Papers from the ECML-PKDD 2020 Conference ECML-PKDD -> selectionof the best reaesch papers,natural-language-processing
"Temporal Convolutional Networks for Time-Series We introduce several novels using TCN, including improving traffic prediction, sound event localization & detection, and probabilistic forecasting.",natural-language-processing
Tracking Objects as Points Simultaneous object detection and tracking using center points.,computer-vision
"StreamAlert A serverless, realtime data analysis framework which empowers you to ingest, analyze, and alert on data from any environment, using datasources and alerts.",mlops
"Autocoder - Finetuning GPT-2 for Auto Code Completion A basic and simple tool for code auto completion, built upon GPT-2",natural-language-processing
Movie Recommendation System This is a web app which recommends movies based on their plots found on IMDb.,natural-language-processing
Rasa An open source machine learning framework to automate text-and voice-based conversations. ,mlops
"Weight Poisoning Attacks on Pre-trained Models How Bert can be infused with nefarious behavior, even after fine-tuning.",natural-language-processing
"Pattern-Exploiting Training (PET) This repository contains the code for ""Exploiting Cloze Questions for Few-Shot Text Classification and Natural Language Inference""",natural-language-processing
Super-resolution Variational Auto-Encoders VAE with RealNVP prior and Super-Resolution VAE in PyTorch.,computer-vision
Workshop on Scalability in Autonomous Driving - Andrej Karpathy An overview of autonomous driving and computer vision at Tesla.,computer-vision
Phrases extraction and D3 Wordcloud 100% JavaScript solution to extracting phrases from text and display key points in a beautiful D3 wordcloud.,natural-language-processing
Effects of News Sentiments on Stock Predictions Project is based on the Natural Language Processing technique called Sentiment Analysis. Stock market and news related to it as the subject of analysis.,natural-language-processing
DeText: A Deep Neural Text Understanding Framework DeText: A Deep Neural Text Understanding Framework for Ranking and Classification Tasks.,natural-language-processing
Age and Gender Estimation using Multi-Task CNN Used a multi task CNN to predict the age group and gender of the person in the image.,computer-vision
Funnel-Transformer: Filtering out Sequential Redundancy Funnel-Transformer is a self-attention model that gradually compresses the sequence of hidden states to a shorter one and hence reduces the computation cost.,natural-language-processing
Zero To One For NLP A collection of all resources for learning NLP,natural-language-processing
Workshop on Scalability in Autonomous Driving - Andrej Karpathy An overview of autonomous driving and computer vision at Tesla.,computer-vision
Bachelorette Predictor Predict the Bachelorette winners from profile images.,computer-vision
"picTranslate: Seamless live Image Text translator Given an image with text on it, this app can give you a new image with text modified into a different language.",computer-vision
Natural Language Processing With spaCy in Python A comprehensive guide to NLP with spaCy.,natural-language-processing
FARM: Framework for Adapting Representation Models 🏡 Fast & easy transfer learning for NLP. Harvesting language models for the industry.,natural-language-processing
"Autocoder - Finetuning GPT-2 for Auto Code Completion A basic and simple tool for code auto completion, built upon GPT-2",natural-language-processing
TurboTransformers A fast and user-friendly runtime for transformer inference on CPU and GPU.,natural-language-processing
CVPR 2020: A Snapshot A snapshot of the conference by summarizing some papers (& listing some) that grabbed my attention.,computer-vision
Differentiable Reasoning over Text We consider the task of answering complex multi-hop questions using a corpus as a virtual knowledge base (KB).,natural-language-processing
PyImageSearch An online platform of blogs on Computer Vision and Deep Learning.,computer-vision
"Fruit Detection using Convolution Neural Networks in TensorFlow Trained a Convolutional Neural Network Model to predict fruits of over 100+ Classes (types) with a training accuracy of over 95%, and testing accuracy of over 9",computer-vision
Wheat Detection 🌾 This is a project for detecting and creating bounding box of wheat heads 🌾.,computer-vision
Images of radio boxes I have collected about 15+k raw images of radio boxes across 500+ forms and hand-picked 200+  images that can be used to determine if a radio box is checked.,computer-vision
A Visual Guide to FastText Word Embeddings A deep-dive into how FastText enriches word vectors with sub-word information  ,natural-language-processing
"Epipolar Transformers Differentiable ""epipolar transformer"", which enables the 2D detector to leverage 3D-aware features to improve 2D pose estimation.",natural-language-processing
Paint with Machine Learning This web app allows you to create a landscape painting in the style of Bob Ross using a deep learning model served using a Spell model server.,computer-vision
"BiT: Exploring Large-Scale Pre-training for Compute We are excited to share the best BiT models pre-trained on public datasets, along with code in TF2, Jax, and PyTorch. ",computer-vision
"StellarGraph - Machine Learning on Graphs State-of-the-art algorithms for graph machine learning, making it easy to discover patterns and answer questions about graph-structured data.",mlops
Deep learning Architecture: AlexNet Explaining network architecture for AlexNet,computer-vision
Dframcy DframCy is a light-weight utility module to integrate Pandas Dataframe to spaCy's linguistic annotation and training tasks.,natural-language-processing
ECCV 2020: Some Highlights A sort of a snapshot of the conference by summarizing some papers (& listing some) that grabbed my attention.,natural-language-processing
"SiamFC++: Towards Robust and Accurate Visual Tracking Implementation of a series of basic algorithms which is useful for video understanding, including Single Object Tracking (SOT), Video Object Segmentation (VOS).",computer-vision
The Future of Computer Vision is Self-Supervised Learning Talk by Yann Lecun on the applications of self-supervised learning on computer vision during CVPR 2020.,computer-vision
Optimal Transport and the Sinkhorn Transformer Understand optimal transport and the Sinkhorn-Knopp algorithm before diving into the Sinkhorn Transformer.,natural-language-processing
"Object-detection with multi-template matching This python package allows to perform object detection using one or a few template images, it provides a simpler alternative to deep-learning methods",computer-vision
"Rasoee A powerful web and mobile application that identifies food dishes from a given input image, and provides an ingredient list along with relevant recipes.",computer-vision
A Visual Exploration of DeepCluster DeepCluster is a self-supervised method to combine clustering and representation learning,computer-vision
Twitter Turing Test Can you guess whether this tweet is written by a human or generated by a neural network?,natural-language-processing
How GPT3 Works - Visualizations and Animations A compilation of my threads explaining GPT3. ,natural-language-processing
TUDatasets A collection of benchmark datasets for graph classification and regression.,natural-language-processing
"Common Architectures in Convolutional Neural Networks In this post, I'll discuss commonly used architectures for convolutional networks. ",computer-vision
CCNet_PyTorch A PyTorch Implementation of  CCNet: Criss-Cross Attention for Semantic Segmentation,natural-language-processing
Tensorflow Object Detection with Tensorflow 2 Object Detection with Tensorflow 2 and the Tensorflow Object Detection API ,computer-vision
3D Ken Burns Effect from a Single Image Implementation of 3D Ken Burns Effect from a Single Image using PyTorch.,computer-vision
Synthesizer: Rethinking Self-Attention in Transformer Models The dot product self-attention is known to be central and indispensable to state-of-the-art Transformer models. But is it really required?,natural-language-processing
Deep Learning Based Text Classification: A Comprehensive Review An overview of deep learning approaches to text classification.,natural-language-processing
The Reformer - Pushing the Limits of Language Modeling An in-depth understanding of each of the key features of the Reformer.,natural-language-processing
"Understanding & Implementing SimCLR - an ELI5 guide I explain the SimCLR and its contrastive loss function step by step, build image embeddings and then show how to use them to train image classifier on top.",computer-vision
"Policy Gradient Algorithms In this post, we are going to look deep into policy gradient, why it works, and many new policy gradient algorithms proposed in recent years.",natural-language-processing
"StellarGraph - Machine Learning on Graphs State-of-the-art algorithms for graph machine learning, making it easy to discover patterns and answer questions about graph-structured data.",mlops
How To Create Semantic Search For Arbitrary Objects An end-to-end example of how to build a system that can search objects semantically. By Hamel Husain & Ho-Hsiang Wu,natural-language-processing
Fast NST for Videos (+ person segmentation) 🎥 + ⚡💻 + 🎨 = ❤️ Create NST videos and pick separate styles for the person in the video and for the background.,natural-language-processing
Chakin  Simple downloader for pre-trained word vectors.,natural-language-processing
"Pattern-Exploiting Training (PET) This repository contains the code for ""Exploiting Cloze Questions for Few-Shot Text Classification and Natural Language Inference""",natural-language-processing
Movie Recommendation System This is a web app which recommends movies based on their plots found on IMDb.,natural-language-processing
Spacy-Go spacy-go is Golang interface for accessing linguistic annotations provided by spaCy using Google's gRPC. This module only supports basic functionalities like lo,natural-language-processing
"NLP for Developers: Multilingual NLP | Rasa In this video, Rasa Developer Advocate Rachael will talk about common approaches to handle language input in more than one language.",natural-language-processing
"Transformers from Scratch Attempt to explain directly how modern transformers work, and why, without some of the historical baggage.",natural-language-processing
A Survey of the State of Explainable AI for NLP Overview of the operations and explainability techniques currently available for generating explanations for NLP model predictions.,natural-language-processing
SmartFeed.ai NLP Based Article Recommendation System ,natural-language-processing
TextAttack A Python framework for building adversarial attacks on NLP models.,natural-language-processing
Distilling Knowledge in Neural Networks This project demonstrates the compelling model optimization technique - knowledge distillation with code walkthroughs in TensorFlow. ,computer-vision
Sinext Sign language to text with OpenCV and MNIST sign-language dataset,computer-vision
The Big Bad NLP Database A collection of 400+ NLP datasets with papers included.,natural-language-processing
Motion2Vec Semi-Supervised Representation Learning from Surgical Videos,computer-vision
"Quantifying Attention Flow in Transformers I explain two simple but effective methods, called Attention Rollout and Attention Flow",natural-language-processing
"TAO: A Large-Scale Benchmark for Tracking Any Object A diverse dataset for Tracking Any Object (TAO) consisting of 2,907 high resolution videos, captured in diverse environments, which are half a minute long on ",natural-language-processing
"Named Entity Recognition Tagging In this post, we go through an example from Natural Language Processing, in which we learn how to load text data and perform NER tagging for each token.",natural-language-processing
"The Transformer … “Explained”? An intuitive explanation of the Transformer by motivating it through the lens of CNNs, RNNs, etc.",natural-language-processing
"Neural Style Transfer (Gatys et al., PyTorch) My implementation of the original neural style transfer paper by Gatys et al. (In PyTorch).",computer-vision
YOLOv4 A TensorFlow 2.0 implementation of YOLOv4: Optimal Speed and Accuracy of Object Detection.,computer-vision
OpenAI API API for accessing new AI models developed by OpenAI.,natural-language-processing
DeLighT: Very Deep and Light-weight Transformers Similar or better performance than transformer-based models with significantly fewer parameters,natural-language-processing
SciTLDR: Extreme Summarization of Scientific Documents A new automatic summarization task with high source compression requiring expert background knowledge and complex language understanding.,natural-language-processing
Understanding Convolutional Neural Networks for NLP More recently we’ve also started to apply CNNs to problems in Natural Language Processing and gotten some interesting results.,natural-language-processing
Automatic Asset Classification This project aims to automate the task of labelling images of flood defence assets as well as clustering images to find possibly better groupings.,computer-vision
Googletrans Googletrans: Free and Unlimited Google translate API for Python. Translates totally free of charge.,natural-language-processing
Beyond the Pixel Plane: Sensing and Learning in 3d Recent deep learning techniques that enable 3D object classification and semantic segmentation.,computer-vision
Model Serving using FastAPI and streamlit Simple example of usage of streamlit and FastAPI for ML model serving.,computer-vision
"Image segmentation in 2020 Architectures, Losses, Datasets, and Frameworks",computer-vision
Albert-base for Sanskrit Trained Albert-base from scratch on Sanskrit corpus of Wikipedia. I have also added a link to how to train your own Language model from scratch.,natural-language-processing
PyImageSearch An online platform of blogs on Computer Vision and Deep Learning.,computer-vision
DeLighT: Very Deep and Light-weight Transformers Similar or better performance than transformer-based models with significantly fewer parameters,natural-language-processing
High-Fidelity Generative Image Compression How to combine Generative Adversarial Networks and learned compression to obtain a state-of-the-art generative lossy compression system.,computer-vision
"Object tracking in 75 lines of code Object tracking is straightforward conceptually. And if you have a good detector, simple methods can be pretty effective.",computer-vision
"Fine-tune a non-English GPT-2 Model with Huggingface  In this tutorial, we are going to use the transformers library by Huggingface. We will use the new Trainer class and fine-tune out GPT-2 model.",natural-language-processing
Dakshina Dataset A collection of text in both Latin and native scripts for 12 South Asian languages.,natural-language-processing
Author Identification using Doc2Vec Web app of an author identification model trained on PAN 2012 dataset and Kaggle's Spooky Authorship Dataset,natural-language-processing
"High-Resolution Image Inpainting High-Resolution Image Inpainting with Iterative Confidence Feedback and Guided Upsampling.
",computer-vision
A research guide for data scientists Tips on research from top data scientists,natural-language-processing
"Text Feature Selection for Causal Inference Identifying the linguistic features that cause people to act a certain way after reading a text, regardless of confounding variables, is something people do.",natural-language-processing
"MARGE: Pre-training via Paraphrasing A retrieval model maps a document to a set of related documents, which a reconstruction model paraphrases to maximize the likelihood of the original. ",natural-language-processing
Back Translation for Text Augmentation with Google Sheets Learn how to augment existing labeled text data for free using Google Sheets.,natural-language-processing
Implementation of Face Net  in TensorFlow -  2.0 This repository is a naive unofficial  implementation of Face Net paper  - 2015 .This implementation opts online mode of semi - hard triplet mining.,computer-vision
"Extension to block NSFW content using AI NSFW Filter is an extension that blocks NSFW content from your browser.
It uses a computer vision model to detect NSFW content and hides it from the user.",computer-vision
Convnet Galaxy Morphology Classifier Classify galaxies from Hubble Tuning Fork using Convnet. ,computer-vision
How I Used Deep Learning To Train A Chatbot To Talk Like Me Facebook chatbot that I trained to talk like me using Seq2Seq.,natural-language-processing
Face Recognition Techniques Face Detection and Recognition techniques using traditional CV and also using new deep learning method.,computer-vision
"PIFuHD: High-Resolution 3D Human Digitization  This repository contains a pytorch implementation of ""Multi-Level Pixel-Aligned Implicit Function for High-Resolution 3D Human Digitization"".",computer-vision
EfficientDet meets Pytorch Lightning Beginner friendly guide to object detection using EfficientDet.,computer-vision
Semantic Segmentation on MIT ADE20K dataset in PyTorch Pytorch implementation for Semantic Segmentation/Scene Parsing on MIT ADE20K dataset.,natural-language-processing
MONAI AI Toolkit for Healthcare Imaging.,computer-vision
"Rethinking Batch Normalization in Transformers We found that NLP batch statistics exhibit large variance throughout training, which leads to poor BN performance.",natural-language-processing
PyTorch Tutorial for Deep Learning Researchers This repository provides tutorial code for deep learning researchers to learn PyTorch. ,computer-vision
How Deep Is Your Love For Transfer Learning In NLP? A review of NLP research,natural-language-processing
"Sentiment analysis  Sentiment analysis by combining three dataset amazon,yelp, IMDb reviews to train our,model to classify if a comment is negative or positive denoted by 0 and 1.",natural-language-processing
Attribute2Font: Creating Fonts You Want From Attributes Official PyTorch implementation of the Attribute2Font: Creating Fonts You Want From Attributes.,natural-language-processing
"The Future of (Transfer Learning in) Natural Language Processing Transfer Learning in Natural Language Processing (NLP): Open questions, current trends, limits, and future directions.",natural-language-processing
Fast Online Object Tracking and Segmentation: A Unifying Approach We illustrate how to perform both realtime object tracking and semi-supervised video object segmentation using a fully-convolutional Siamese approach.,computer-vision
What does a CNN see? First super clean notebook showcasing @TensorFlow 2.0. An example of end-to-end DL with interpretability.,computer-vision
Recurrent Neural Networks: building GRU cells VS LSTM cells  What are the advantages of RNN’s over transformers? When to use GRU’s over LSTM? What are the equations of GRU really mean? How to build a GRU cell in Pytorch?,natural-language-processing
FastHugs: Sequence Classification with Transformers and Fastai Fine-tune a text classification model with HuggingFace 🤗 transformers and fastai-v2.,natural-language-processing
3D Ken Burns Effect from a Single Image Implementation of 3D Ken Burns Effect from a Single Image using PyTorch.,computer-vision
Harry Potter and the Deep Learning Experiment RNN built with TensorFlow to generate text based on Harry Potter's books.,natural-language-processing
Behavioral Testing of NLP models with CheckList An overview of the “CheckList” framework for fine-grained evaluation of NLP models,natural-language-processing
"Rethinking Batch Normalization in Transformers We found that NLP batch statistics exhibit large variance throughout training, which leads to poor BN performance.",natural-language-processing
T5 for Sentiment Span Extraction Exploring how T5 works and applying it for sentiment span extraction.,natural-language-processing
Generalized Language Models Trend in large unsupervised pre-trained language models which have achieved amazing SOTA results on a variety of language tasks.,natural-language-processing
"An Introduction to Adversarial Examples in Deep Learning This report provides an intuitive introduction to adversarial examples, discusses a wide variety of different adversarial attacks and, most notably, provides ad",natural-language-processing
Funnel-Transformer: Filtering out Sequential Redundancy Funnel-Transformer is a self-attention model that gradually compresses the sequence of hidden states to a shorter one and hence reduces the computation cost.,natural-language-processing
"ATLASS: AutoML using Transfer and Semi-Supervised Learning This repository includes the code, application, and notebooks for the work ""AutoML using Transfer and Semi-Supervised Learning"". The tools presented here can be",computer-vision
Learning to See before Learning to Act: Visual Pre-training We find that pre-training on vision tasks significantly improves generalization and sample efficiency for learning to manipulate objects.,computer-vision
"The Future of (Transfer Learning in) Natural Language Processing Transfer Learning in Natural Language Processing (NLP): Open questions, current trends, limits, and future directions.",natural-language-processing
CMU LTI Low Resource NLP Bootcamp 2020 A low-resource natural language and speech processing bootcamp held by the Carnegie Mellon University Language Technologies Institute in May 2020.,natural-language-processing
Onceupon.space NLP experiment in story-telling  that creates illustrations (text to sketch) and content (text generation),natural-language-processing
"Train ALBERT for NLP with TensorFlow on Amazon SageMaker To train BERT in 1 hour, we efficiently scaled out to 2,048 NVIDIA V100 GPUs by improving the underlying infrastructure, network, and ML framework. ",natural-language-processing
Unsupervised Keyphrase Extraction Learn about unsupervised algorithms for automatically extracting representative keyword and phrases from documents,natural-language-processing
Face Predicting Web App Interactive Deep Learning Model that utilizes your computer webcam to predict your age and gender in seconds! ,computer-vision
"OpenMMLab Computer Vision MMCV is a python library for CV research and supports many research projects such as object detection, segmentation, pose estimation, action classification.

",computer-vision
